,k_opt,n_opt,m_opt,m6_opt,error_opt,k_real,n_real,m_real,m6_real,error
81,49.991356313035716,0.5017881848105133,-0.09553144706654432,0.013623379279470948,0.0015989327203472386,80.0,0.5,0.01,0.0,0.9195135682608914
82,50.00025274792233,0.16826423840197846,-0.05722039520126849,0.40644459177852693,0.3459824393784446,80.0,0.5,0.05,0.0,0.7564766487034491
83,50.00013505708916,0.14780647637778674,-0.029851002736356217,0.40104555047237417,0.2279397837696832,80.0,0.5,0.09,0.0,0.6190672482201934
84,49.992253547789346,0.5976034210438648,-0.09438966899319258,0.02336140559832891,0.00041495128066960777,80.0,0.6,0.01,0.0,0.8797459577925631
85,49.988845861243206,0.652631499601723,-0.0661622572044102,-0.06368677070167711,0.01608912022248406,80.0,0.6,0.05,0.0,0.7520781746627645
86,50.000024409546995,0.13945937845118822,-0.004563274399638475,0.5397268343435114,0.2885300720906032,80.0,0.6,0.09,0.0,0.593874617381696
87,49.98731569870571,0.3995526954188429,-0.12142355368349264,0.012427900575972753,0.003150610127846725,90.0,0.4,0.01,0.0,1.1134748840579034
88,50.00044301029116,0.17740364572443335,-0.10100784976938629,0.2644501246373814,0.23060905234470636,90.0,0.4,0.05,0.0,0.9079911765382686
89,49.98327481448942,0.3955623535727788,-0.04132980945903145,0.0209919385547959,0.001136344496982739,90.0,0.4,0.09,0.0,0.7423120836591275
90,49.992275772439086,0.499685845140178,-0.1206736437483559,0.01688266886810213,0.0016934207914548931,90.0,0.5,0.01,0.0,1.0749898405501643
91,49.99056997395563,0.5093981755875155,-0.08216902808951336,0.0039433436542376495,0.002986077922237455,90.0,0.5,0.05,0.0,0.8757047363105915
92,49.98727511341976,0.4960046741485302,-0.0403474655746567,0.024915494474377332,0.0005299075236977081,90.0,0.5,0.09,0.0,0.7132021946487564
93,49.9938917906502,0.6106472498309022,-0.122508571195599,0.0027969205901781876,0.0031906932899249795,90.0,0.6,0.01,0.0,1.0295649173903423
94,49.99132509564601,0.588541550803141,-0.07811815694242374,0.038850580182215703,9.725121623120515e-05,90.0,0.6,0.05,0.0,0.8304825964782608
95,50.000095640725114,0.15364942832605308,-0.02096791351756194,0.5492850535079445,0.3746098007744145,90.0,0.6,0.09,0.0,0.6821289881144683
96,49.987660617066425,0.3994998774271003,-0.1441804862143323,0.012741948900337979,0.004015161977123977,100.0,0.4,0.01,0.0,1.2915914150840468
97,49.9868554833988,0.39795522920761583,-0.10411478066121448,0.016461347408750018,0.002506735089692733,100.0,0.4,0.05,0.0,1.0443898306803676
98,49.985232176850744,0.39894174065553645,-0.0642243148255568,0.016741587664078197,0.001896501752878181,100.0,0.4,0.09,0.0,0.8499495780365308
99,49.99291885261139,0.49726629123096405,-0.14309681399153834,0.020548890726855982,0.0016380271751293527,100.0,0.5,0.01,0.0,1.2412468075927345
100,49.99173948954892,0.5039940593321254,-0.1041349216737041,0.01198157503125082,0.0023783196687241675,100.0,0.5,0.05,0.0,1.0021013721628107
101,49.98967635411292,0.5112519776975357,-0.06532483398382043,0.0025382807254473424,0.0029850082877795206,100.0,0.5,0.09,0.0,0.8167865092092418
102,49.99475234362715,0.595686948241438,-0.14223013534567233,0.026465326628049405,0.00048336344859745486,100.0,0.6,0.01,0.0,1.1779780894950145
103,49.99272994074968,0.5955502331764575,-0.1022875310772459,0.02785850497744139,0.0003406058822466406,100.0,0.6,0.05,0.0,0.9493471556991044
104,49.98956877940476,0.5970651498985629,-0.0627496606963824,0.026491314067658596,0.000318562915822701,100.0,0.6,0.09,0.0,0.7725864405007463
105,50.00038987821865,0.06302667475647104,-0.08868628692478618,-0.0009386219508973747,0.004422382979171404,50.0,0.1,0.001,0.0,0.39806048451321757
106,49.99989845552775,0.037068669420571826,0.02442442009750794,0.02190225431608771,0.0033299727825147865,50.0,0.1,0.2,0.0,0.24836012311215191
107,49.66639561003766,0.0023077253654199556,-0.5344415749887921,0.07955094461198724,0.08231381154825154,50.0,0.8,0.001,0.0,0.49426863094290624
108,49.99948928063477,0.030873631642734736,0.11862229985697502,0.5244563681716862,0.038012863822557655,50.0,0.8,0.2,0.0,0.24082135917209904
109,50.00143159818852,0.08998276520861617,-0.3286691955521002,-0.007178104719693398,0.026152070196706702,200.0,0.1,0.001,0.0,3.1038512971688133
110,50.00069917938203,0.0706544003258602,-0.1600083297006213,0.024625836918599122,0.014623753292513359,200.0,0.1,0.2,0.0,1.3947844731336851
111,49.99882874588737,0.7972018311494924,-0.3010522705096468,0.027418796285247616,0.00040965478637269815,200.0,0.8,0.001,0.0,2.892703449146306
112,49.9754642018601,0.7995784683895182,-0.10340477623860413,0.026642284775823512,0.0001761337335307649,200.0,0.8,0.2,0.0,0.908634172653121
113,50.00178032408795,0.09488600529818814,-0.4089607322163945,-0.010442839512850828,0.05587415629667994,300.0,0.1,0.001,0.0,5.746616408788261
114,50.00100664775566,0.07904734612611912,-0.23076557187677857,0.02070329819301014,0.021666155915057262,300.0,0.1,0.2,0.0,2.5553619248070074
115,49.9992371709622,0.7945994633129762,-0.38821119773219837,0.031176069352886516,0.0001348410951835056,300.0,0.8,0.001,0.0,5.345322582498263
